loss,accuracy,val_loss,val_accuracy
0.6919205918659767,0.550000011920929,0.6543852145969867,0.5899999737739563
0.5549876737439384,0.7166666388511658,0.37316431518644094,0.7950000166893005
0.3143677388870856,0.871666669845581,0.25203696603217396,0.9350000023841858
0.16670465833120338,0.9433333277702332,0.07078477125636709,0.9850000143051147
0.14346545531735747,0.9483333230018616,0.06822724047731754,0.9800000190734863
0.10143246272395989,0.9683333039283752,0.06032946407178713,1.0
0.12896563161266172,0.9516666531562805,0.06069260168336768,0.9800000190734863
0.07254471521533276,0.9766666889190674,0.028685719373921757,0.9850000143051147
0.09367165303176103,0.9649999737739563,0.05071833329011497,0.9850000143051147
0.06250672304737741,0.9800000190734863,0.2414614614372431,0.8999999761581421
0.05544349771776867,0.9800000190734863,0.013867444911949533,1.0
0.12452423803916805,0.9549999833106995,0.0499033065968797,0.9850000143051147
0.1276584590839489,0.9633333086967468,0.04016061268666817,1.0
0.06041806783643011,0.9866666793823242,0.020820250123021255,1.0
0.04438750142224035,0.9850000143051147,0.019112178456292383,0.9950000047683716
0.058462890300292746,0.9833333492279053,0.019436856680003417,0.9900000095367432
